=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.07.09 20:42:23 =~=~=~=~=~=~=~=~=~=~=~=
Date: 2023-07-09 - Time: 20:39:42 - T = 24.0 deg. C, H = 49.0%
Date: 2023-07-09 - Time: 20:40:32 - T = 24.0 deg. C, H = 49.0%
Date: 2023-07-09 - Time: 20:41:22 - T = 24.0 deg. C, H = 49.0%
Date: 2023-07-09 - Time: 20:42:12 - T = 24.0 deg. C, H = 49.0%
Date: 2023-07-09 - Time: 20:43:02 - T = 24.0 deg. C, H = 49.0%
Date: 2023-07-09 - Time: 20:43:52 - T = 24.0 deg. C, H = 49.0%
Date: 2023-07-09 - Time: 20:44:42 - T = 24.0 deg. C, H = 49.0%
Date: 2023-07-09 - Time: 20:45:32 - T = 24.0 deg. C, H = 49.0%
Date: 2023-07-09 - Time: 20:46:22 - T = 24.0 deg. C, H = 49.0%
Date: 2023-07-09 - Time: 20:47:12 - T = 24.0 deg. C, H = 49.0%
Date: 2023-07-09 - Time: 20:48:02 - T = 24.0 deg. C, H = 49.0%
Date: 2023-07-09 - Time: 20:48:52 - T = 24.0 deg. C, H = 49.0%
Date: 2023-07-09 - Time: 20:49:42 - T = 24.0 deg. C, H = 49.0%
Date: 2023-07-09 - Time: 20:50:32 - T = 24.0 deg. C, H = 49.0%
Date: 2023-07-09 - Time: 20:51:22 - T = 24.0 deg. C, H = 49.0%
Date: 2023-07-09 - Time: 20:52:12 - T = 24.0 deg. C, H = 49.0%
Date: 2023-07-09 - Time: 20:53:02 - T = 24.0 deg. C, H = 49.0%
Date: 2023-07-09 - Time: 20:53:52 - T = 24.0 deg. C, H = 49.0%
Date: 2023-07-09 - Time: 20:54:42 - T = 24.0 deg. C, H = 49.0%
Date: 2023-07-09 - Time: 20:55:32 - T = 24.0 deg. C, H = 49.0%
Date: 2023-07-09 - Time: 20:56:22 - T = 24.0 deg. C, H = 49.0%
Date: 2023-07-09 - Time: 20:57:12 - T = 24.0 deg. C, H = 49.0%
Date: 2023-07-09 - Time: 20:58:02 - T = 24.0 deg. C, H = 49.0%
Date: 2023-07-09 - Time: 20:58:52 - T = 24.0 deg. C, H = 49.0%
Date: 2023-07-09 - Time: 20:59:42 - T = 24.0 deg. C, H = 49.0%
Date: 2023-07-09 - Time: 21:06:22 - T = 24.0 deg. C, H = 50.0%
Date: 2023-07-09 - Time: 21:07:12 - T = 24.0 deg. C, H = 50.0%
Date: 2023-07-09 - Time: 21:08:02 - T = 24.0 deg. C, H = 50.0%
Date: 2023-07-09 - Time: 21:08:52 - T = 24.0 deg. C, H = 50.0%
Date: 2023-07-09 - Time: 21:09:42 - T = 24.0 deg. C, H = 50.0%
Date: 2023-07-09 - Time: 21:10:32 - T = 24.0 deg. C, H = 50.0%
Date: 2023-07-09 - Time: 21:11:22 - T = 23.0 deg. C, H = 50.0%
Date: 2023-07-09 - Time: 21:12:12 - T = 23.0 deg. C, H = 50.0%
Date: 2023-07-09 - Time: 21:13:02 - T = 23.0 deg. C, H = 50.0%
Date: 2023-07-09 - Time: 21:13:52 - T = 23.0 deg. C, H = 50.0%
Date: 2023-07-09 - Time: 21:14:42 - T = 23.0 deg. C, H = 50.0%
Date: 2023-07-09 - Time: 21:15:32 - T = 23.0 deg. C, H = 50.0%
Date: 2023-07-09 - Time: 21:16:22 - T = 23.0 deg. C, H = 50.0%
Date: 2023-07-09 - Time: 21:17:12 - T = 23.0 deg. C, H = 50.0%
Date: 2023-07-09 - Time: 21:18:02 - T = 23.0 deg. C, H = 50.0%
Date: 2023-07-09 - Time: 21:18:52 - T = 23.0 deg. C, H = 50.0%
Date: 2023-07-09 - Time: 21:19:42 - T = 23.0 deg. C, H = 50.0%
Date: 2023-07-09 - Time: 21:20:32 - T = 23.0 deg. C, H = 50.0%
